X,Y,LAYER
32.774,103.083,8

35.913,107.140,8

39.441,110.845,8

43.322,114.161,8

47.520,117.089,8

52.000,119.558,8

56.692,121.569,8

61.596,123.121,8

66.606,124.145,8

71.686,124.674,8

76.801,124.674,8

81.881,124.145,8

86.891,123.121,8

91.759,121.604,8

96.486,119.558,8

100.931,117.089,8

105.129,114.161,8

109.045,110.845,8

112.538,107.140,8

115.678,103.083,8

118.394,98.744,8

120.652,94.158,8

122.416,89.360,8

123.721,84.421,8

124.497,79.341,8

124.744,74.226,8

124.497,69.146,8

123.721,64.065,8

122.416,59.127,8

120.652,54.329,8

118.394,49.742,8

115.713,45.403,8

112.573,41.346,8

109.045,37.642,8

105.165,34.291,8

100.967,31.398,8

96.486,28.893,8

91.794,26.882,8

86.926,25.330,8

81.916,24.307,8

76.801,23.778,8

71.686,23.778,8

66.606,24.307,8

61.596,25.330,8

56.728,26.882,8

52.036,28.893,8

47.555,31.362,8

43.357,34.291,8

39.476,37.607,8

35.949,41.311,8

32.809,45.368,8

30.092,49.707,8

27.835,54.293,8

26.071,59.091,8

24.765,64.030,8

23.989,69.110,8

119.629,74.226,8

119.347,69.146,8

118.465,64.136,8

117.054,59.232,8

115.113,54.540,8

112.679,50.095,8

109.716,45.932,8

106.329,42.158,8

102.519,38.736,8

98.391,35.808,8

93.911,33.338,8

89.219,31.398,8

84.351,29.987,8

79.306,29.140,8

74.226,28.858,8

69.146,29.140,8

64.136,29.987,8

59.232,31.398,8

54.540,33.338,8

50.095,35.808,8

45.932,38.771,8

42.158,42.158,8

38.771,45.932,8

35.808,50.095,8

33.373,54.540,8

31.398,59.268,8

29.987,64.136,8

29.140,69.146,8

28.858,74.226,8

29.140,79.306,8

30.022,84.351,8

31.398,89.219,8

33.373,93.911,8

35.843,98.391,8

38.771,102.519,8

42.158,106.329,8

45.968,109.716,8

50.095,112.644,8

54.576,115.113,8

59.268,117.054,8

64.171,118.465,8

69.181,119.311,8

74.261,119.594,8

79.341,119.311,8

84.351,118.465,8

89.254,117.054,8

93.946,115.113,8

98.391,112.644,8

102.554,109.680,8

106.329,106.294,8

109.716,102.519,8

112.679,98.356,8

115.149,93.911,8

117.089,89.184,8

118.500,84.315,8

119.347,79.306,8

74.261,23.107,9

69.146,23.354,9

64.101,24.130,9

59.162,25.365,9

54.399,27.129,9

49.778,29.316,9

45.439,31.997,9

41.382,35.067,9

37.642,38.524,9

34.291,42.334,9

